Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
AABB,Axis Aligned Bounding Box,,,,（实体的）碰撞箱/边界箱,轴对齐边界框，一种常用于 计算机图形学 和 碰撞检测 中的简单边界框。 它们的特点是其边缘与坐标轴平行。（常指实体或方块的碰撞箱，用于检测碰撞和交互。）,,,,,,,,,,,,,,,Bounding Box Alineada en los Ejes,
,Bounding Box (aka Axis Aligned Bounding Box),,,,（实体的）碰撞箱/边界箱,轴对齐边界框。指实体或方块的碰撞箱。,,,,,,,,,,,,,,,Bounding Box Alineada en los Ejes,
BFS,Breadth First Search,,,,广度/宽度优先搜索,一种搜索算法，从起始节点开始，逐层扩展，先访问离起始节点最近的节点，后访问离起始节点稍远的节点。以此类推，直到完成整个搜索过程。,,,,,,,,,,,,,,,Búsqueda en Anchura,
CCE ,ClassCastException ,,,,类型转换异常  ,是Java的一个运行时异常，当一个对象的类型被强制转换到一个它不符合的类型的时被抛出。可以通过方块实体替换抛出CCE实现强转更新抑制。,,,,,,,,,,,,,,,,
CME,ConcurrentModificationException,,,,并发修改异常,Java 中的一个运行时异常，通常在对集合进行迭代的过程中修改了集合结构时（例如，增删元素）抛出,,,,,,,,,,,,,,,ConcurrentModificationException (error de java),
,Congruential Generator,,,,同余生成器,,,,,,,,,,,,,,,,Generador Congruencial,
DFS,Depth-First Search,,,,深度优先搜索,一种用于遍历或搜索的算法，其尽可能深入地访问每个节点，直到无法继续为止，然后回溯到之前的节点层继续遍历。,,,,,,,,,,,,,,,Búsqueda Depth-First,
DP,Dynamic Programming,,,,动态规划,,,,,,,,,,,,,,,,Programación Dinámica,
,Hash,,,,哈希,一种将任意大小数据映射至固定大小的输出（哈希值）的技术。,,,,,,,,,,,,,,,Hash,
,Hitbox (aka Axis Aligned Bounding Box),,,,（实体的）碰撞箱/边界箱,,,,,,,,,,,,,,,,Hitbox,
IAE ,IllegalArgumentException ,,,,非法参数异常 ,,,,,,,,,,,,,,,,,
MCP,Mod Coder Pack,,,,MCP,模组开发提供便利，反混淆的工具。,,,,,,,,,,,,,,,Mod Coder Pack,
,Noise Map,,,,噪声图,,,,,,,,,,,,,,,,Mapa de Ruido,
,Operation Stack,,,,操作栈,,,,,,,,,,,,,,,,Stack de Operaciones,
OOM ,OutOfMemoryError ,,,,内存溢出错误,,,,,,,,,,,,,,,,,
,Perlin Noise,,,,柏林噪声,,,,,,,,,,,,,,,,Ruido de Perlin,
,Queue,,,,队列,一系列等待被执行的事件。,,,,,,,,,,,,,,,Lista de espera,
RNG,Random Number Generation,"Every randomized action in the game is based on a single pseudo random number generator. The generator has a reset function and a ""forward function"", which is called whenever a random number is required.",,,随机数生成,游戏内的随机事件均由一个随机数生成器。该生成器可被重置，或者返回下一个随机数值。,,,,,,,,,,,,,,,,
,RNG Manipulation,Manipulate the chance of a random event happening.,,,随机数操控*,通过特殊逆向方法破解随机数生成器后，更具其规则，有意地进行某些行为以操控该随机数生成器的下一个结果。,,,,,,,,,,,,,,,Manipulación de RNG,
,Stack,,,,栈,,,,,,,,,,,,,,,,Stack,
SOE ,StackOverflowError ,,,,栈溢出异常 ,,,,,,,,,,,,,,,,,
UI,User Interface,"The part of a contraption or system that the end user interacts with, regardless of the inner workings of the system.",,,用户面板,,,,,,,,,,,,,,,,Interfaz de Usuario,
