Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
0t,0-tick,Usually refers to a redstone signal that is shorter than 1gt. Also used to describe a piston extending and retracting within the same game tick.,,,0t,常指短于1游戏刻的红石信号。也可用于描述在同一游戏刻内活塞的伸出和缩回。,,,,,,,,,,,,,,,0-tick,
,Array,,,,阵列,阵列。指一组按特定模式排列的样式。,,,,,,,,,,,,,,,Array,
,Based,,,,基于,,,,,,,,,,,,,,,,Basado en,
,Bedrock Breaking/Breaker,,,,破基岩/破基岩机/基岩机,用于破坏基岩的装置。,,,,,,,,,,,,,,,Bedrock Breaker,
,Bedrock-less,Usually used to describe wither cages without bedrock.,,,无基岩,通常用于描述不含基岩的凋灵笼。,,,,,,,,,,,,,,,Sin bedrock,
,Biome,,,,生物群系,生物群系。指游戏中具有特定环境和生态特征的区域。,,,,,,,,,,,,,,,Bioma,
B36,Block 36 (aka Moving Piston),,,,36号方块,移动中的活塞。,,,,,,,,,,,,,,,Bloque 36,
,Block Entity (aka Tile Entity),,,,方块实体,指具有外观渲染，特殊功能或存储NBT数据的方块，如箱子、熔炉等。,,,,,,,,,,,,,,,Block Entity (Tile entity),
BE,Block Event,,,,方块事件,用于同步并指导客户端执行特定方块行为或者模拟服务器发生的方块行为。,,,,,,,,,,,,,,,Block Event,
BED,Block Event Delay/Depth,"Usually refers to piston updating other pistons in a chain reaction within a single game tick. Since pistons activate during the block event phase of the tick (kind of) and things execute in the order they are scheduled, having something be activated by a piston that was updated by a chain of three other pistons before it (BED 3) will always happen before something that was activated by a BED 5 event.",,,方块事件深度/方块事件延迟,方块事件延迟/深度。通常指在单个游戏刻内，活塞通过链式反应更新其他活塞。由于活塞在游戏刻的方块事件阶段激活，且按调度顺序执行，由三个活塞链更新触发的活塞（BED 3）总比由五个活塞链更新触发的（BED 5）先发生。,,,,,,,,,,,,,,,Block Event Delay,
,Block Stream,,,,方块流,,,,,,,,,,,,,,,,Corriente de bloques,
,Block Stream Merger,,,,方块整流器,,,,,,,,,,,,,,,,Unificador de corrientes de bloques,
,Block Tick (aka Tile Tick),,,,计划刻,指游戏中为特定方块安排的延迟执行任务。,,,,,,,,,,,,,,,Tile Tick,
BUD,Block Update Detector,A device that has something happen when it receives an update.,,,方块更新检测器,方块更新检测器。一种在接收到（NC）更新时触发特定动作的装置。,,,,,,,,,,,,,,,Detector de Block Updates,
,Border Load,,,,边界加载,,,,,,,,,,,,,,,,Carga de Bordes,
,Chunk,,,,区块,指游戏世界中16x16x<世界高度>的区域，用于管理地形和实体加载。,,,,,,,,,,,,,,,Chunk,
,Chunk Section,,,,子区块/区段,一个区块被分为数个16x16x16的子区块,,,,,,,,,,,,,,,Sección de Chunk,
CT,Chunk Tick,,,,区块刻,区块处理，如随机刻等。,,,,,,,,,,,,,,,Chunk Tick,
,Chunk Ticket,,,,加载票,用于控制区块加载的机制。,,,,,,,,,,,,,,,Ticket de Chunk,
,Collection,Usually refers to a component that collects the item drops.,,,收集,自动集中掉落物的装置。,,,,,,,,,,,,,,,Colección,
,Comparator Update,,,,比较器更新,,,,,,,,,,,,,,,,,
CUD,Comparator Update Detector (aka Tile Entity Update Detector),"Refers to a comparator that will change its signal once it either receives a block or inventory update. It is based on the behavior inherent to comparators where they don't notice inventory changes when reading it through a solid block (including an inventory being moved away or put in place, like a composter being moved by a piston). The CUD will then change it's signal once it either receives a block or inventory update.",,,比较器更新检测器,检测比较器更新。,,,,,,,,,,,,,,,Detector de Updates de Tile Entities (Detector de Updates de Comparadores),
,Conversion,,,,换算,,,,,,,,,,,,,,,,Conversión,
,Conveyor,Usually refers to a contraption that conveys a block or entity.,,,传送带,传世方块或实体的装置。,,,,,,,,,,,,,,,Cinta transportadora,
,Crafter,,,,合成器/牛爷爷,,,,,,,,,,,,,,,,Crafter,
,Crosstalk,A term used for when 2 tiled Slices are interfering with each other in any situation.,,,串线,指两个单片/线路的互相影响。,,,,,,,,,,,,,,,Crosstalk (Diafonía),
cyc,Cyclical,,,,循环的,,,,,,,,,,,,,,,,Cíclico,
DUD,Data Update Detector (aka Comparator Update Detector),"Refers to a comparator that will change its signal once it either receives a block or inventory update. It is based on the behavior inherent to comparators where they don't notice inventory changes when reading it through a solid block (including an inventory being moved away or put in place, like a composter being moved by a piston). The CUD will then change it's signal once it either receives a block or inventory update.",,,方块实体更新检测器(/CUD*),指一种比较器，当接收到方块或库存更新时会改变其信号。这种机制基于比较器的固有行为，即通过固体方块读取时无法察觉库存变化（包括库存被移走或放置，例如堆肥桶被活塞移动）。比较器更新检测器（CUD）在接收到方块或库存更新时会改变其信号。,,,,,,,,,,,,,,,Detector de Updates de Dato (Detector de Updates de Comparadores),
dir,Directional,"A contraption is said to be directional if it exhibits a different behavior when rotated or mirrored. This is usually caused by some internal component being directional itself, which in turn is most often caused by update order: each components notifies its neighbors of the update in a set order (for example, negative to positive z first, then negative to positive y, then x). There are also other causes of directionality.",,,方向性,"如果一个装置在旋转或镜像时表现出不同的行为，则称其为方向性的。这通常是由于某些内部组件本身具有方向性，而方向性最常见的原因是更新顺序：每个组件按固定顺序（例如，先从负Z到正Z，再从负Y到正Y，然后是X）通知其邻居进行更新。此外，也存在其他导致方向性的原因。",,,,,,,,,,,,,,,Direccional,
,Down Acceleration,,,,下弹,,,,,,,,,,,,,,,,Aceleración hacia abajo,
,Drops (aka Item Drops),,,,掉落物,,,,,,,,,,,,,,,,Drops,
DPH,Drops Per Hour,,,,掉落物每小时,,,,,,,,,,,,,,,,Drops por Hora,
,Dust Updateless,"Some contraptions are not Dustless, but the dust they use does not get updated (does not change ss). This can be because it is either used to steadily power a component, or because it's used by redirecting it, but not changing ss. Redirecting dust is really lag friendly, as lag usage goes. These terms are therefore often used interchangeably.",,,无红石粉能量变化;无粉(广义),一些装置不是无粉的，但其中的粉不会发出方块更新和改变信号值。,,,,,,,,,,,,,,,Sin actualizaciones de polvo de redstone,
DL,Dustless,"Usually refers to dust update-less contraption, but it can also be used to state the absence of redstone dust within a contraption.",,,无粉(狭义),通常指无红石粉更新的装置，但也可用于表示装置内完全不含红石粉。,,,,,,,,,,,,,,,Sin polvo de redstone,
,Dropper Line,A line of droppers to transport items fast.,,,投掷器链,用投掷器快速传输物品的装置。,,,,,,,,,,,,,,,Línea de Droppers,
,Dynamic,,,,动态的,,,,,,,,,,,,,,,,Dinámico,
,Efficiency,"Usually refers to how efficient a contraption is utilised, like the area efficiency of an ice farm.",,,利用率,描述一个自动农场的高效度。,,,,,,,,,,,,,,,Eficiencia,
,Efficiency (aka Return Rate),"Usually refers to the ratio of item collected with to the actual produced item. As an example for blast chambers, it can be written as 99.6% efficiency.",,,回收率,描述产物的有效回收率，如爆炸室的回收率可被称为99.6%*,,,,,,,,,,,,,,,Eficiencia (fracción/ratio de retorno),
,Enderman,,,,末影人/小黑,,,,,,,,,,,,,,,,Enderman,
,Entity Loaded,,,,强加载,该区域内实体被加载。,,,,,,,,,,,,,,,Entidades Cargadas,
,Entity Processing,As an adjective,,,强加载的,该区域内实体行为被计算。,,,,,,,,,,,,,,,Procesa Entidades,
EU,Entity Update,,,,实体运算/实体更新,实体的tick函数被调用。,,,,,,,,,,,,,,,Actualización de Entidades,
XP,Experience,,,,经验,奖励进度机制，通过击杀怪物/交易/采集方块获得。可以用于附魔/修复工具等。,,,,,,,,,,,,,,,Experiencia,
,Falling Block,,,,落沙/落沙实体/下落方块,坠落中的重力方块的实体。,,,,,,,,,,,,,,,Falling Block,
,Farm,Machines for the production of resources in particular,,,农场,自动化产出资源的机器。,,,,,,,,,,,,,,,Granja,
FTL,Faster Than Light,Usually refers to pearl cannon where the pearl transports faster than the speed of light.,,,FTL,常形容珍珠速度超过光速的珍珠炮。,,,,,,,,,,,,,,,Más rápido que la luz,
,Filtered,,,,分类的,,,,,,,,,,,,,,,,Filtrado,
FM,Flying Machine,,,,飞行器,,,,,,,,,,,,,,,,Máquina Voladora,
,Force Load,,,,强制加载,该区域被强制加载，尽管不符合被加载的常见条件。,,,,,,,,,,,,,,,Carga forzada,
FPS,Frames Per Second,"A measure of how many frames a client is able to process each second. This is similar to, but independent of TPS, which denotes server-side performance.",,,帧率,描述客户端每秒可以处理并展示的画面数。类似但不同于TPS。后者用于衡量服务器性能。,,,,,,,,,,,,,,,Frames por segundo,
gt,Game Tick (aka Tick),"Minecraft iteratively runs its processing code in a loop. One cycle of this loop is called a Tick or Gametick (gt). Gameticks are also used as the default measurement of time while working with redstone. The game attempts to run 20 gameticks a second (20tps), but will fail to do so and slow down the game if the server is lagging (>50mspt). ",,,游戏刻,Minecraft循环执行其代码。其中一轮循环被称为一个游戏刻。,,,,,,,,,,,,,,,Game Tick,
