Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
,Aligner,,,,（实体）对正装置/矫正装置/矫正器/校准器,用于将实体在空间中对齐的装置,,,,,,,,,,,,,,,Alineador,
,BUD Line,,,,BUD链,使用BUD特性快速传递方块更新/信号的装置。,,,,,,,,,,,,,,,BUD Line,
,Color Swapping/Swapper,A contraption or feature of a gravity block duper that can swap out the duped gravity blocks.,,,换色,在重力方块复制机中切换复制目标的功能。,,,,,,,,,,,,,,,Intercambiador de colores,
,Float Alignment,,,,浮点数对齐,将实体以浮点数为基准高精度对齐。,,,,,,,,,,,,,,,Alineamiento “float” (el tipo de dato en programación),
,High Precision Entity Alignment,,,,高精度实体对齐,高精度地控制实体坐标。,,,,,,,,,,,,,,,Alineamiento de entidades de alta precisión,
HSS,High Signal Strength (aka Overstacked Signal Strength),Storage tech term.,,,强模,可由比较器读出与传递的，信号强度超过15的非法信号。,,,,,,,,,,,,,,,Sobrecarga de Signal Strength,
,InfiniOmen (aka OmenInfinitum),"Raid farming term. Refers to a 1.21.5+ bug, where the Bad Omen effect remains after transforming into Raid Omen, and triggering the Raid Omen effect for free every 30 seconds within the 100-minute duration of the Bad Omen effect.",,,无限袭击之兆,袭击术语。指一个1.21.5的漏洞，即在不祥之兆转化为袭击之兆后并没有消失，在效果持续的 100 分钟内，每 30 秒即可免费制造一次袭击之兆。,,,,,,,,,,,,,,,Infiniomen,
,OmenInfinitum (aka infiniOmen),"Raid farming term. Refers to a 1.21.5+ bug, where the Bad Omen effect remains after transforming into Raid Omen, and triggering the Raid Omen effect for free every 30 seconds within the 100-minute duration of the Bad Omen effect.",,,无限袭击之兆,袭击术语。指一个1.21.5的漏洞，即在不祥之兆转化为袭击之兆后并没有消失，在效果持续的 100 分钟内，每 30 秒即可免费制造一次袭击之兆。,,,,,,,,,,,,,,,OmenInfinitum,
OSS,Overstacked Signal Strength (aka High Signal Strength),,,,强模,可由比较器读出与传递的，信号强度超过15的非法信号。,,,,,,,,,,,,,,,Sobrecarga de Signal Strength,
,Perfect Aligner (aka 4D Aligner),"Refers to a contraption that aligns items in all three axes before sending them down a stream, where they usually get picked up by hoppers. Since these contraptions are usually ran at Hopper speed, the items need to have a perfect timing between them, so that they don't reach a hopper during its cooldown stage, hence why these are also called 4D aligners (3D+time).",,,完全矫正器*,,,,,,,,,,,,,,,,"Alineador Perfecto, (4D (x, y, z, tiempo))",
,Pod,Usually refers to the amount of villagers in groups of 3 in an iron farm.,,,核,通常指刷铁机内村民组（3个为一组）的数量。,,,,,,,,,,,,,,,Cápsula,
,Raid Shifting,Raid farming term.,,,袭击迁移,,,,,,,,,,,,,,,,Desplazamiento de Raids,
,Raid Stacking,Raid farming term.,,,袭击堆叠,,,,,,,,,,,,,,,,Stackeo de Raids,
,Stationary POI,Raid farming term.,,,静态兴趣点,,,,,,,,,,,,,,,,Punto de Interés estacionario,
,Supressor Arm ,,,,BUD链,,,,,,,,,,,,,,,,,
,Workstation Forcing,Raid farming term.,,,可控认领/可控村民就职,,,,,,,,,,,,,,,,Forzado de mesa de trabajo,
,B36 TNT,Refers to a blast chamber component that shields item entities from explosion damage by enclosing the TNT entity into a moving block.,,,推爆,指爆炸室中的一种组件，通过将TNT实体封闭在移动方块中，保护物品实体免受爆炸伤害。,,,,,,,,,,,,,,,TNT en B36,
,Blast Chamber,,,,爆炸室,使用爆炸摧毁方块的舱室,,,,,,,,,,,,,,,Blast Chamber,
,Obsidian Condom Blast Chamber,,,,奶爆/纯牛奶爆炸室,指一种利用爆炸射线从方块边缘泄漏的特性制造的，可以有效保护掉落物安全的爆炸室,,,,,,,,,,,,,,,Blast Chamber con Condón de Obsidiana,
,(TNT) Basket,Cannon term. Usually refers to a place where you align TNT or other propellant so that it can explode and apply motion to something else.,,,炮口,大炮术语。通常指一个用于放置TNT或其他推进剂的装置，使其爆炸并推动其他物体。,,,,,,,,,,,,,,,Cesta (de TNT),
,Lazy Acceleration,Refers to a method of entity acceleration where entities are accelerated by explosions or collisions while remaining in lazy chunks.,,,弱加载蓄力,使用爆炸等手段向弱加载的实体施加动量的行为。,,,,,,,,,,,,,,,Aceleración en Lazy,
,Propellant,Mostly used in cannons,,,推进剂,,,,,,,,,,,,,,,,Comburente,
,,Can also be referred to as the phenomenon of collision checking along axes in entity movement based on Entity.move().,,,沿轴运动/沿轴移动,,,,,,,,,,,,,,,,,
