Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
,4D Aligner (aka Perfect Aligner),"Refers to a contraption that aligns items in all three axes before sending them down a stream, where they usually get picked up by hoppers. Since these contraptions are usually ran at Hopper speed, the items need to have a perfect timing between them, so that they don't reach a hopper during its cooldown stage, hence why these are also called 4D aligners (3D+time).",,,四维矫正器*,指一种装置，在将物品送入水流前沿三个轴（X、Y、Z）对其进行对齐，通常由漏斗收集。由于这些装置通常以漏斗速度运行，物品之间需要精确的时间间隔，以避免在漏斗冷却期间到达，因此也被称为4D对齐器（3D空间+时间）。,,,,,,,,,,,,,,,"Alineador 4D (x, y, z, tiempo)",
,Accessible,,,,可访问的,,,,,,,,,,,,,,,,Accesible,
,Accessible Box Loader,Storage tech term. Refers to Box Loaders where you can access the box it's loading,,,可访问打包机,储电术语。指一种打包机，允许玩家访问正在装载的潜影盒。,,,,,,,,,,,,,,,Box Loader Accesible,
,Batcher,Storage tech term. Refers to a contraption that groups item entities together before periodically releasing them into a waterstream or iceline.,,,聚堆器,储电术语。指一种装置，将物品实体聚集成组，然后定期释放到水流或冰道,,,,,,,,,,,,,,,Agrupador,
,Blacklister,Storage tech term.,,,黑名单,储电术语。,,,,,,,,,,,,,,,Blacklister,
,Blocker,Storage tech term.,,,"填充物, 占位物",储电术语。指用于限制物品行径或占位的物品。,,,,,,,,,,,,,,,Bloqueador,
,Blockerless,Storage tech term.,,,"无填充物的, 无占位物的",无需填充物/占位物的组件*,,,,,,,,,,,,,,,Sin Bloqueador,
,Box Blacklister,Storage tech term. Separates boxes based on if the first item of the input box matches an item set.,,,盒子黑名单,储电术语。指根据输入潜影盒的第一个物品是否匹配特定物品集来分离潜影盒的装置。,,,,,,,,,,,,,,,Lista negra de Boxes,
,Box Comparer,"Storage tech term. Refers to a contraption that takes two boxes as input, and compares them by signal strength. A Box comparer normally has dedicated outputs for the fuller and less full boxes.",,,盒子容量比较,储电术语。指一种装置，接受两个潜影盒作为输入，通过信号强度比较其填充程度，通常有专用输出用于满载和较少装载的潜影盒。,,,,,,,,,,,,,,,Comparador de Boxes,
,Box Detection,Storage tech term. Usually used as a way to tag Loaders and Box Displays that restart themselves when boxes come in and they were previously empty.,,,盒子输入检测/盒子扫描器,储电术语。通常用于标记在潜影盒输入且之前为空时自动重启的打包机或潜影盒展示装置。,,,,,,,,,,,,,,,Detección de Boxes,
